domain,dimension,label,code,parent_1,parent_2,definition,definition_suggested,source
Mitigation,Type of measure: category,Energy efficiency,C_Efficiency,,,This category is used for measures that seek to improve the energy efficiency of vehicles and the transport system as a whole.,,
Mitigation,Type of measure: category,Electrification,C_Electrification,,,"This category includes mitigation measures that focus on the electrification of transport, including electric vehicle uptake, purchase incentives and charging",,
Mitigation,Type of measure: category,Alternative fuels,C_Fuels,,,"This category considers measures related to the use of alternative fuels (e.g. ethanol, hydrogen, LPG) except for electric mobility",,
Mitigation,Type of measure: category,Aviation and maritime,C_Innovation,,,"This category includes innovations in aviation, shipping. They are treated as a category apart because they represent areas, for which few mitigation options exist.",,
Mitigation,Type of measure: purpose,Transport demand management,P_TDM,C_Mode,,"This purpose covers various strategies that address transport demand. Such measures aim to act on the transport demand (km traveled) and the choice of modes by encouraging low-carbon modes (such as walking, cycling or public transport) and discouraging the use of high-emission modes.",,
Mitigation,Type of measure: purpose,Economic conditions for sustainable transport,P_Sustainable,C_Mode,,"This purpose refers to the overarching economic structures and conditions in which people make transport-related choices (such as buying a vehicle, chosing a mode to travel). It covers green procurement, carbon-related pricing and finance mechanisms as well as taxes and subsidies for transport decarbonization.",,
Mitigation,Type of measure: purpose,Digital solutions,P_DigitalEff,C_Mode,,This purpose groups measures that enhance the efficiency of modes/transport systems through digital solutions,,
Mitigation,Type of measure: purpose,Promote active mobility,P_Active,C_Mode,,"This purpose groups measures that contribute to promoting active mobiliy (also called non-motorised transport), such as cycling and warlking, wheelchair movement",,
Mitigation,Type of measure: purpose,Public transport improvement,P_Public,C_Mode,,The purporse  covers all measures designed to improve or further develop the public transport system.,,
Mitigation,Type of measure: purpose,Enhance comprehensive transport planning,P_Planning,C_System,,This purpose considers planning tools and overall planning frameworks to support sustainable transport.,,
Mitigation,Type of measure: purpose,Improve infrastructure,P_Infrastructure,C_System,,This purpose covers measures that focus on improving and expanding infrastructure and its utilization and ensure intermodality by interlinking different modes of transport.,,
Mitigation,Type of measure: purpose,Freight efficiency improvements,P_Freight,C_System,,This purpose covers measures for the improvement of the freight transport system.,,
Mitigation,Type of measure: purpose,Education and behavioral change,P_Education,C_System,,This purpose covers measures targeting a change of behaviour through education and awareness,,
Mitigation,Type of measure: purpose,Promote vehicle improvements,P_Vehicles,C_Efficiency,,This purpose refers to  improvements that enhance the energy efficiency of  vehicles.,,
Mitigation,Type of measure: purpose,Promote electric mobility,P_Electric,C_Electrification,,This purpose covers measures that seek to foster the transition to electric mobility.,,
Mitigation,Type of measure: purpose,Promote alternative fuels,P_Altfuel,C_Fuels,,This purpose considers measures aimed at promoting the use of alternative fuels.,,
Mitigation,Type of measure: purpose,Promote improvements in aviation,P_Aviation,C_Innovation,,This purpose considers measures aimed at promoting technical improvement in the aviation sector.,,
Mitigation,Type of measure: purpose,Promote improvements in shipping,P_Shipping,C_Innovation,,This purpose considers measures aimed at promoting technical improvement in the shipping sector.,,
Mitigation,Type of measure: instruments,Transport demand management measures,A_TDM,C_Mode,P_TDM,This parameter records any general mention of activities focusing on reducing demand for motorized transport.,,
Mitigation,Type of measure: instruments,Car access restriction and low emission zones,A_Caraccess,C_Mode,P_TDM,"This parameter refers to car access measures that restrict the physical access of certain types of vehicles to certain places (e.g. city centres). An example are Low Emission Zones. By resticting access based on certain criteria (type of propulsion technique, euro-Standards, age etc) access limitations can have differentiated impact such as GHG emissions reductions, air pollutants reduction and congestion prevention. They can encourage the use of low-carbon modes like cycling and public transport and/or support technological shift to cleaner technologies.","This parameter refers to measures that restrict the physical access of certain vehicle types to certain places (e.g. city centres); Low Emission Zones are one example. By restricting access based on criteria such as propulsion technology, Euro standard or age, these measures can deliver differentiated impacts (GHG reduction, lower air pollution, congestion prevention) and can encourage low-carbon modes and a shift to cleaner technologies.",
Mitigation,Type of measure: instruments,Commuter trip reduction policies,A_Commute,C_Mode,P_TDM,This parameter refers to the management of circumstances and incentives for employee commuter travel and working arrangements to reduce traffic and automobile use.,,"ITDP (2013), p. 32"
Mitigation,Type of measure: instruments,Parking measures,S_Parking,C_Mode,P_TDM,"This parameter refers to actions that aim to improve parking management such as pricing, quantity restrictions, parking reform etc. which then also contribute to a reduced demand of motorised travel.",,
Mitigation,Type of measure: instruments,General economic instruments,A_Economic,C_Mode,P_Sustainable,"This parameter records any general mention of economic instruments, such as taxes& tax breaks, fees, duties and subsidies, which contribute to integrating  environmental costs and benefits into the budgets of households and firms.",,"OECD, Glossary of Statistical Terms"
Mitigation,Type of measure: instruments,Emissions trading and carbon pricing,A_Emistrad,C_Mode,P_Sustainable,"This parameter refers to emissions trading systems (ETS) or cap-and-trade systems:  a pricing mechanism for emitted greenhouse gas emissions. Unlike a direct carbon tax, where the unit price of CO2 is fixed, under an emissions trading scheme, the price per tonne of CO2 varies. The overall amount of emissions is fixed for a given period of time (e.g. annually). Entities are allocated a set amount of CO2 emissions allowances, or quotas, and trade emissions with each another. Those able to reduce their emissions below their allowance level can trade them with those emitting in excess of their allowance.",,ITF (2020): Emissions trading (aviation)
Mitigation,Type of measure: instruments,Financial instruments to support decarbonisation,A_Finance,C_Mode,P_Sustainable,"This parameter records financing instruments used to pay for technologies, projects and programmes that reduce GHG emissions. Financing instruments that aim to support decarbonization include climate finance solutions, investments in EVs, green bonds, etc. Not to confound with economic instruments!","This parameter records financing instruments used to pay for technologies, projects and programmes that reduce GHG emissions, e.g. climate finance solutions, investments in EVs, green bonds. Not to be confused with economic instruments.",ITF (2020): Financial instruments to support decarbonisation
Mitigation,Type of measure: instruments,Fossil fuel subsidy elimination,A_Fossilfuelsubs,C_Mode,P_Sustainable,This parameter refers to policies and decisions that eliminate or reduce subsidies for fossil fuels. Energy subsidies are used by governments to lower the cost of producing or consuming fossil fuels. Eliminating such subsidies can help to reduce reliance on fossil fuels.,,
Mitigation,Type of measure: instruments,Fuel taxation,A_Fueltax,C_Mode,P_Sustainable,This parameter records national or local taxes on the sale of fuel. Every fuel type is taxed differently. One target of taxing fuel is to reduce fuel consumption and encourage more efficient transport modes.,,
Mitigation,Type of measure: instruments,Green public procurement,A_Procurement,C_Mode,P_Sustainable,"This parameter refers to stakeholders to taking into account environmental impacts when procuring goods and services. Applied to transport, it means that a public authority can develop green procurement regulations that, for example, only allow the purchase of zero-emission vehicles. Such measures can support the transition to cleaner public vehicle fleets and more sustainable consumption.",,ITF (2020): Green public procurement
Mitigation,Type of measure: instruments,Road charging and tolls,A_Roadcharging,C_Mode,P_Sustainable,"This parameter refers to surcharges applied to general or specific road use, including in particular highway tolls. This includes congestion pricing.",,
Mitigation,Type of measure: instruments,Vehicle taxation,A_Vehicletax,C_Mode,P_Sustainable,This parameter refers to  taxes on vehicle pruchase and/or ownership,,ITF (2020): Vehicle purchase and ownership taxes
Mitigation,Type of measure: instruments,Measures supporting autonomous vehicles,I_Autonomous,C_Mode,P_DigitalEff,"This parameter identifies measures that promote self-driving vehicles, artificial intelligence and any other mechanisms that support the automation of passenger and freight transport.",,
Mitigation,Type of measure: instruments,Data and modelling improvements,I_DataModelling,C_Mode,P_DigitalEff,"This parameter identifies any measures related to transport data (e.g. collection, analysis or application) as well as models designed to predict traffic flows or transport demand growth.",,
Mitigation,Type of measure: instruments,General innovations and digitalization,I_Other,C_Mode,P_DigitalEff,This parameter includes activities that mention the use of innovation and digitalization to improve the efficiency of transport.,,
Mitigation,Type of measure: instruments,Intelligent transport systems,I_ITS,C_Mode,P_DigitalEff,"This parameter refers to intelligent transport systems that  harness technology to improve the management and operation of transport services. Relevant technologies include sensors, wireless communications, notification systems and other ICT solutions.",,
Mitigation,Type of measure: instruments,Shared mobility,S_Sharedmob,C_Mode,P_DigitalEff,"This parameter includes general measures in the area of shared mobility, such as bike sharing, car-sharing, shared scooters etc..",,
Mitigation,Type of measure: instruments,General active mobility,S_Activemobility,C_Mode,P_Active,This parameter is used for general measures that refer to walking and cycling are included here.,General measures that refer to walking and cycling are included here.,
Mitigation,Type of measure: instruments,Cycling measures,S_Cycling,C_Mode,P_Active,This parameter covers any action that specifically mentions improving cycling is included here.,Any action that specifically mentions improving cycling is included here.,
Mitigation,Type of measure: instruments,Walking measures,S_Walking,C_Mode,P_Active,This parameter covers any action that specifically mentions improving walking is included here.,Any action that specifically mentions improving walking is included here.,
Mitigation,Type of measure: instruments,BRT,S_BRT,C_Mode,P_Public,"This parameter refers to Bus rapid transit (BRT): a bus system with high speed, capacity, punctuality and operating flexibility. Common characteristics of a BRT system include the use of bus-only lanes, advance ticketing, and articulated buses.",,ITF (2020): Bus rapid transit network
Mitigation,Type of measure: instruments,Public transport integration and expansion,S_PTIntegration,C_Mode,P_Public,This parameter covers activities that aim to expand public transport or integrate different public transport services into a single system.,,
Mitigation,Type of measure: instruments,Express lanes/ public transport priority,S_PTPriority,C_Mode,P_Public,"This parameter looks at actions that give priority to public transport over other modes. Examples include transit signal priorities, access priority, intelligent transport systems and express lanes.",,ITF (2020): Express lanes/public transport priority
Mitigation,Type of measure: instruments,General public transport improvement,S_PublicTransport,C_Mode,P_Public,This parameter covers all activities that aim to improve the public transport system.,,
Mitigation,Type of measure: instruments,General transport and land use planning,A_Complan,C_System,P_Planning,This parameter records any general mention of transport planning.,,VTI (2015): Comprehensive Transport Planning
Mitigation,Type of measure: instruments,Traffic management improvements,A_LATM,C_System,P_Planning,"This parameter looks at management, infrarstructure and techonlogical approaches with the goal of improving traffic flow.","This parameter looks at management, infrastructure and technological approaches with the goal of improving traffic flow.",
Mitigation,Type of measure: instruments,National mobility plans,A_Natmobplan,C_System,P_Planning,A national mobility plan provides a comprehensive long-term planning framework for the transport sector. It features a vision and timeframes for action at the national level. This parameter records these planning activities that focus on nationwide transport.,,
